amfi_code,scheme_name,var_95_pct,cvar_95_pct
120505,ICICI Pru Midcap Fund - Regular - Growth,-1.889178619869274,-2.434207039551981
148567,Mirae Asset Large Cap Fund - Regular - Growth,-1.355977641751056,-1.7622879905822204
120843,Kotak Flexicap Fund - Regular - Growth,-1.4507941385630474,-1.8381077688017156
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-1.9033535861558826,-2.3455762770703794
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-1.7118192655621134,-2.1328305810328105
119598,SBI Small Cap Fund - Regular Plan - Growth,-2.45070519056771,-3.059526410880242
120504,ICICI Pru Bluechip Fund - Direct - Growth,-1.3728193295939772,-1.7494143685606607
119552,SBI Bluechip Fund - Direct Plan - Growth,-1.3500970479935082,-1.7335699664199813
119094,Axis Midcap Fund - Regular - Growth,-1.8480276243938307,-2.426005947837057
149324,DSP Small Cap Fund - Regular - Growth,-2.3483069386777156,-3.103625202188441
119551,SBI Bluechip Fund - Regular Plan - Growth,-1.284622862884257,-1.639680693408763
149323,DSP Midcap Fund - Regular - Growth,-1.7882076201903474,-2.2606642100420333
118632,Nippon India Large Cap Fund - Regular - Growth,-1.3954045870018117,-1.7618579320162155
101206,ABSL Frontline Equity Fund - Regular - Growth,-1.328166198628149,-1.7439425687129195
125497,HDFC Top 100 Fund - Direct Plan - Growth,-1.459176907114046,-1.830988532805791
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.4711531333512795,-1.876476958423089
120503,ICICI Pru Bluechip Fund - Regular - Growth,-1.355001716250348,-1.745055416552432
102885,UTI Nifty 50 Index Fund - Regular - Growth,-1.261262882069356,-1.549040525311211
118635,Nippon India ETF Nifty 50 BeES,-1.2553697284754661,-1.617696049480912
118633,Nippon India Large Cap Fund - Direct - Growth,-1.3442525143024242,-1.6630178254004826
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-1.4388462899080912,-1.940489860249691
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.022157351389344715,-0.037258039979649646
118634,Nippon India Small Cap Fund - Regular - Growth,-2.543811145896311,-3.2304072697818533
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-1.8365320169601018,-2.309379305316794
102887,UTI Flexi Cap Fund - Regular - Growth,-1.5231617279157872,-1.9411182679158694
120844,Kotak Liquid Fund - Regular - Growth,-0.028479272823556105,-0.0410995919332325
149322,DSP Top 100 Equity Fund - Regular - Growth,-1.447385198379274,-1.8401747612732604
119093,Axis Bluechip Fund - Direct - Growth,-1.4225516634796054,-1.7486709749013059
120841,Kotak Bluechip Fund - Regular - Growth,-1.3141782186804063,-1.636273661834337
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.38041460689443474,-0.49189184204782943
101208,ABSL Liquid Fund - Regular - Growth,-0.02686575130400159,-0.04220820655857685
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.3938283121850805,-0.5013693153022244
101207,ABSL Small Cap Fund - Regular - Growth,-2.6021248221061066,-3.245905898704435
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.3793246199522682,-0.4993763020560281
120842,Kotak Emerging Equity Fund - Regular - Growth,-1.8218530452556079,-2.2724975262680878
119092,Axis Bluechip Fund - Regular - Growth,-1.3749592076363815,-1.7327870956436053
119599,SBI Small Cap Fund - Direct Plan - Growth,-2.685943514961382,-3.238412245049217
119095,Axis Small Cap Fund - Regular - Growth,-2.618842440959035,-3.166729360598028
102886,UTI Mid Cap Fund - Regular - Growth,-1.922028344426503,-2.325086026922121
100016,HDFC Top 100 Fund - Regular Plan - Growth,-1.4363639988111143,-1.806020763217176
